identifier	name	definition	synonyms	alts	parents	species
11D6%28...%29	miraculous statues of Christ or the Christ-child (with NAME)					
11D9	Antichrist					
11D91	scenes from the life of the Antichrist					
11DD3	Christ as adult - DD - Christ beardless					
11DD31	'portraits' of Christ - DD - Christ beardless					
11DD311	'Mandylion', i.e. portrait, perhaps made for King Abgar of Edessa by Christ himself, by pressing his face against a cloth - DD - Christ beardless					
11DD3111	Christ gives the Mandylion to the messenger of King Abgar - DD - Christ beardless					
11DD3112	the Mandylion is brought to Edessa - DD - Christ beardless					
11DD312	'Vera Icon', 'Sudarium', Veronica-portrait - DD - Christ triumphant					
11DD3121	'Vera Icon', held up by Veronica - DD - Christ triumphant					
11DD3122	'Vera Icon', held up by angels - DD - Christ triumphant					
11DD3123	'Vera Icon' held up by Peter and Paul - DD - Christ triumphant					
11DD313	'portrait' of Christ according to the letter of Lentulus - DD - Christ beardless					
11DD314	'Volto Santo', e.g. of Lucca (perhaps carved by Nicodemus) - DD - Christ beardless					
11DD315	portrait of Christ made by Luke - DD - Christ beardless					
11DD316	ex-voto of the woman healed from the issue of blood - DD - Christ beardless					
11DD317	(full-length) image of Christ on shroud, 'Sindone' - DD - Christ beardless					
11DD318	(other) 'portraits' of Christ, e.g. profile portrait - DD - Christ beardless					
11DD32	particular types of adult Christ (without others) - DD - Christ beardless					
11DD321	'Majestas Domini': Christ in mandorla seated on a rainbow or sphere and accompanied by the Tetramorph - DD - Christ beardless					
11DD322	Christ enthroned - DD - Christ beardless					
11DD3221	'Pantocrator', (bust of) Christ, making a speaking or blessing gesture and holding a book - DD - Christ beardless					
11DD3222	'Christus Rex' - DD - Christ beardless					
11DD3223	Christ as (heavenly) judge - DD - Christ beardless					
11DD323	Christ-'Logos', the Word Incarnate - DD - Christ beardless					
11DD324	'Salvator Mundi', making a blessing gesture; an orb in his hand or at his feet - DD - Christ beardless					
11DD325	Christ ~ the Eucharist - DD - Christ beardless					
11DD3251	Christ with chalice, and bread or Host - DD - Christ beardless					
11DD3252	Christ in the wine-press, 'Christus in der Kelter' (Is. 63:3) - DD - Christ beardless					
11DD3253	Christ in the symbolic mill - DD - Christ beardless					
11DD326	'Fons Vitae', 'Fons Pietatis' - DD - Christ beardless					
11DD3261	Christ standing on or near a fountain, shedding his blood - DD - Christ beardless					
11DD3262	Christ on the cross (in a fountain), shedding his blood - DD - Christ beardless					
11DD327	Christ ~ human occupations - DD - Christ beardless					
11DD3271	Christ as Good Shepherd - DD - Christ beardless					
11DD3272	Christ as physician - DD - Christ beardless					
11DD32721	Christ as apothecary - DD - Christ beardless					
11DD3273	Christ fishing - DD - Christ beardless					
11DD3274	Christ as pedlar - DD - Christ beardless					
11DD3275	Christ as farmer or gardener - DD - Christ beardless					
11DD3276	Christ as host - DD - Christ beardless					
11DD3277	Christ as (high) priest or prophet - DD - Christ beardless					
11DD3278	Christ as pilgrim - DD - Christ beardless					
11DD3279	'Feiertagschristus', Christ with craftsman's tools - DD - Christ beardless					
11DD328	types of adult Christ (alone) - DD - Christ beardless					
11DD3281	Christ as woman - DD - Christ beardless					
11DD3282	Christ in orans attitude - DD - Christ beardless					
11DD3283	Christ as angel - DD - Christ beardless					
11DD3284	Christ ~ Orpheus - DD - Christ beardless					
11DD3285	Christ ~ Apollo (Helios) - DD - Christ beardless					
11DD33	adult Christ together with others (non-narrative representations) - DD - Christ beardless					
11DD331	adult Christ with Mary - DD - Christ beardless					
11DD3311	Christ and Mary as bridegroom and bride - DD - Christ beardless					
11DD332	adult Christ together with angels - DD - Christ beardless					
11DD333	adult Christ ~ devil(s) and demonic creatures - DD - Christ beardless					
11DD3331	Christ triumphing over devil(s) - DD - Christ beardless					
11DD334	adult Christ together with apostles, evangelists, saints, etc. - DD - Christ beardless					
11DD3341	Christ with John the Evangelist leaning on his breast, 'Johannesminne', 'Christus-Johannes-Gruppe' - DD - Christ beardless					
11DD3342	'Traditio legis', 'Dominus legem dat', i.e. Christ giving a scroll (the Law) to Paul; Peter present - DD - Christ beardless					
11DD33421	Christ giving a scroll (the Law) to Paul; apostle(s) present - DD - Christ beardless					
11DD3343	Christ with penitent sinners (Adam, David, prodigal son, Mary Magdalene, good malefactor, Peter, etc.) - DD - Christ beardless					
11DD335	adult Christ together with mortals - DD - Christ scornful, threatening, etc.					
11DD3351	(adult) Christ appearing to mortals - DD - Christ scornful, threatening, etc.					
11DD336	triumphant Christ, e.g. on triumphal chariot - DD - Christ beardless					
11DD337	Christ on horseback - DD - Christ beardless					
11DD3371	Christ on horseback leading an army of knights, 'Militia Christi' - DD - Christ beardless					
11DD34	adult Christ ~ abstract conceptions - DD - Christ beardless					
11DD35	specific types of crucified Christ (in non-narrative context) - DD - Christ beardless					
11DD351	Christ suffering (with crown of thorns, head usually turned sidewards) - DD - Christ beardless					
11DD352	Christ covered with pest-sores, 'Pestkruzifixus' - DD - Christ beardless					
11DD353	Christ triumphing (with crown, head usually upright) - DD - Christ beardless					
11DD354	Christ bowing down from the cross to embrace someone - DD - Christ beardless					
11DD355	Christ crucified on a tree or on a vine - DD - Christ beardless					
11DD356	Christ crucified on a 'living' cross - DD - Christ beardless					
11DD357	the Virtues ~ crucified Christ - DD - Christ beardless					
11DD36	other types of crucified Christ in non-narrative context - DD - Christ beardless					
11DD422	the Sacred Heart - DD - the Christ-child and the Sacred Heart					
11E	the Holy Ghost					
11E1	Holy Ghost represented as a dove (in flames)					
11E2	Holy Ghost represented as flames					
11E3	Holy Ghost represented in human shape					
11E4	Holy Ghost represented otherwise, e.g. ray(s) of light					
11E5	the seven gifts of the Holy Ghost					
11E51	the seven gifts of the Holy Ghost represented as seven doves					
11E52	the seven gifts of the Holy Ghost represented as seven flames					
11E53	the seven gifts of the Holy Ghost represented as seven lamps or as a seven-branched candelabrum					
11E54	separate representations of the seven gifts of the Holy Ghost					
11E541	'Sapientia', Wisdom; 'Sapienza divina' (Ripa) ~ one of the seven gifts of the Holy Ghost					
11E542	'Intellectus', 'Intelligentia', Understanding ~ one of the seven gifts of the Holy Ghost					
11E543	'Consilium', Counsel ~ one of the seven gifts of the Holy Ghost					
11E544	'Fortitudo', Fortitude ~ one of the seven gifts of the Holy Ghost					
11E545	'Pietas', Piety ~ one of the seven gifts of the Holy Ghost					
11E546	'Scientia', Knowledge ~ one of the seven gifts of the Holy Ghost					
11E547	'Timor Domini', Holy Fear ~ one of the seven gifts of the Holy Ghost					
11F	the Virgin Mary					
11F1	symbols and prefigurations of Mary					
11F11	symbols of Mary					
11F111	symbols of Mary from litanies					
11F111%28...%29	symbols of Mary from litanies (with TEXT)					
11F111%28CIVITAS%20DEI%29	symbols of Mary from litanies: Civitas Dei					
11F111%28ELECTA%20UT%20SOL%29	symbols of Mary from litanies: Electa ut sol					
11F111%28FLOS%20CAMPI%29	symbols of Mary from litanies: Flos campi					
11F111%28FONS%20SIGNATUS%29	symbols of Mary from litanies: Fons signatus					
11F111%28HORTUS%20CONCLUSUS%29	symbols of Mary from litanies: Hortus conclusus					
11F111%28PORTA%20COELI%29	symbols of Mary from litanies: Porta coeli					
11F111%28PULCHRA%20UT%20LUNA%29	symbols of Mary from litanies: Pulchra ut luna					
11F111%28ROSA%20MYSTICA%29	symbols of Mary from litanies: Rosa mystica					
11F111%28SPECULUM%20SINE%20MACULA%29	symbols of Mary from litanies: Speculum sine macula					
11F111%28STELLA%20MARIS%29	symbols of Mary from litanies: Stella maris					
11F111%28STELLA%20MATUTINA%29	symbols of Mary from litanies: Stella matutina					
