identifier	name	definition	synonyms	alts	parents	species
CC-BY-2.5	Creative Commons Attribution 2.5 Generic				spdx.term:ListedLicense	
CC-BY-2.5-AU	Creative Commons Attribution 2.5 Australia				spdx.term:ListedLicense	
CC-BY-3.0	Creative Commons Attribution 3.0 Unported				spdx.term:ListedLicense	
CC-BY-3.0-AT	Creative Commons Attribution 3.0 Austria				spdx.term:ListedLicense	
CC-BY-3.0-AU	Creative Commons Attribution 3.0 Australia				spdx.term:ListedLicense	
CC-BY-3.0-DE	Creative Commons Attribution 3.0 Germany				spdx.term:ListedLicense	
CC-BY-3.0-IGO	Creative Commons Attribution 3.0 IGO				spdx.term:ListedLicense	
CC-BY-3.0-NL	Creative Commons Attribution 3.0 Netherlands				spdx.term:ListedLicense	
CC-BY-3.0-US	Creative Commons Attribution 3.0 United States				spdx.term:ListedLicense	
CC-BY-4.0	Creative Commons Attribution 4.0 International				spdx.term:ListedLicense	
CC-BY-NC-1.0	Creative Commons Attribution Non Commercial 1.0 Generic				spdx.term:ListedLicense	
CC-BY-NC-2.0	Creative Commons Attribution Non Commercial 2.0 Generic				spdx.term:ListedLicense	
CC-BY-NC-2.5	Creative Commons Attribution Non Commercial 2.5 Generic				spdx.term:ListedLicense	
CC-BY-NC-3.0	Creative Commons Attribution Non Commercial 3.0 Unported				spdx.term:ListedLicense	
CC-BY-NC-3.0-DE	Creative Commons Attribution Non Commercial 3.0 Germany				spdx.term:ListedLicense	
CC-BY-NC-4.0	Creative Commons Attribution Non Commercial 4.0 International				spdx.term:ListedLicense	
CC-BY-NC-ND-1.0	Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic				spdx.term:ListedLicense	
CC-BY-NC-ND-2.0	Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic				spdx.term:ListedLicense	
CC-BY-NC-ND-2.5	Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic				spdx.term:ListedLicense	
CC-BY-NC-ND-3.0	Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported				spdx.term:ListedLicense	
CC-BY-NC-ND-3.0-DE	Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany				spdx.term:ListedLicense	
CC-BY-NC-ND-3.0-IGO	Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO				spdx.term:ListedLicense	
CC-BY-NC-ND-4.0	Creative Commons Attribution Non Commercial No Derivatives 4.0 International				spdx.term:ListedLicense	
CC-BY-NC-SA-1.0	Creative Commons Attribution Non Commercial Share Alike 1.0 Generic				spdx.term:ListedLicense	
CC-BY-NC-SA-2.0	Creative Commons Attribution Non Commercial Share Alike 2.0 Generic				spdx.term:ListedLicense	
CC-BY-NC-SA-2.0-DE	Creative Commons Attribution Non Commercial Share Alike 2.0 Germany				spdx.term:ListedLicense	
CC-BY-NC-SA-2.0-FR	Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France				spdx.term:ListedLicense	
CC-BY-NC-SA-2.0-UK	Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales				spdx.term:ListedLicense	
CC-BY-NC-SA-2.5	Creative Commons Attribution Non Commercial Share Alike 2.5 Generic				spdx.term:ListedLicense	
CC-BY-NC-SA-3.0	Creative Commons Attribution Non Commercial Share Alike 3.0 Unported				spdx.term:ListedLicense	
