text	curie	name	predicate	source
"BSD 3-Clause ""New"" or ""Revised"" License"	spdx:BSD-3-Clause	"BSD 3-Clause ""New"" or ""Revised"" License"	rdfs:label	spdx
BSD-3-Clause-Attribution	spdx:BSD-3-Clause-Attribution	BSD with attribution	oboInOwl:hasRelatedSynonym	spdx
BSD with attribution	spdx:BSD-3-Clause-Attribution	BSD with attribution	rdfs:label	spdx
BSD-3-Clause-Clear	spdx:BSD-3-Clause-Clear	BSD 3-Clause Clear License	oboInOwl:hasRelatedSynonym	spdx
BSD 3-Clause Clear License	spdx:BSD-3-Clause-Clear	BSD 3-Clause Clear License	rdfs:label	spdx
BSD-3-Clause-HP	spdx:BSD-3-Clause-HP	Hewlett-Packard BSD variant license	oboInOwl:hasRelatedSynonym	spdx
Hewlett-Packard BSD variant license	spdx:BSD-3-Clause-HP	Hewlett-Packard BSD variant license	rdfs:label	spdx
BSD-3-Clause-LBNL	spdx:BSD-3-Clause-LBNL	Lawrence Berkeley National Labs BSD variant license	oboInOwl:hasRelatedSynonym	spdx
Lawrence Berkeley National Labs BSD variant license	spdx:BSD-3-Clause-LBNL	Lawrence Berkeley National Labs BSD variant license	rdfs:label	spdx
BSD-3-Clause-Modification	spdx:BSD-3-Clause-Modification	BSD 3-Clause Modification	oboInOwl:hasRelatedSynonym	spdx
BSD 3-Clause Modification	spdx:BSD-3-Clause-Modification	BSD 3-Clause Modification	rdfs:label	spdx
BSD-3-Clause-No-Military-License	spdx:BSD-3-Clause-No-Military-License	BSD 3-Clause No Military License	oboInOwl:hasRelatedSynonym	spdx
BSD 3-Clause No Military License	spdx:BSD-3-Clause-No-Military-License	BSD 3-Clause No Military License	rdfs:label	spdx
BSD-3-Clause-No-Nuclear-License	spdx:BSD-3-Clause-No-Nuclear-License	BSD 3-Clause No Nuclear License	oboInOwl:hasRelatedSynonym	spdx
BSD 3-Clause No Nuclear License	spdx:BSD-3-Clause-No-Nuclear-License	BSD 3-Clause No Nuclear License	rdfs:label	spdx
BSD-3-Clause-No-Nuclear-License-2014	spdx:BSD-3-Clause-No-Nuclear-License-2014	BSD 3-Clause No Nuclear License 2014	oboInOwl:hasRelatedSynonym	spdx
BSD 3-Clause No Nuclear License 2014	spdx:BSD-3-Clause-No-Nuclear-License-2014	BSD 3-Clause No Nuclear License 2014	rdfs:label	spdx
BSD-3-Clause-No-Nuclear-Warranty	spdx:BSD-3-Clause-No-Nuclear-Warranty	BSD 3-Clause No Nuclear Warranty	oboInOwl:hasRelatedSynonym	spdx
