identifier	name	definition	synonyms	alts	parents	species
R-BTA-141430	Inactivation of APC/C via direct inhibition of the APC/C complex				reactome:R-BTA-141405	
R-BTA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal				reactome:R-BTA-141424	
R-BTA-1428517	Aerobic respiration and respiratory electron transport				reactome:R-BTA-1430728	
R-BTA-1430728	Metabolism					
R-BTA-1433557	Signaling by SCF-KIT				reactome:R-BTA-9006934	
R-BTA-1433559	Regulation of KIT signaling				reactome:R-BTA-1433557	
R-BTA-1442490	Collagen degradation				reactome:R-BTA-1474228	
R-BTA-1461957	Beta defensins				reactome:R-BTA-1461973	
R-BTA-1461973	Defensins				reactome:R-BTA-6803157	
R-BTA-1474151	Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation				reactome:R-BTA-8978934	
R-BTA-1474165	Reproduction					
R-BTA-1474228	Degradation of the extracellular matrix				reactome:R-BTA-1474244	
R-BTA-1474244	Extracellular matrix organization					
R-BTA-1474290	Collagen formation				reactome:R-BTA-1474244	
R-BTA-1475029	Reversible hydration of carbon dioxide				reactome:R-BTA-1430728	
R-BTA-1480926	O2/CO2 exchange in erythrocytes				reactome:R-BTA-382551	
R-BTA-1482788	Acyl chain remodelling of PC				reactome:R-BTA-1483206	
R-BTA-1482798	Acyl chain remodeling of CL				reactome:R-BTA-1483206	
R-BTA-1482801	Acyl chain remodelling of PS				reactome:R-BTA-1483206	
R-BTA-1482839	Acyl chain remodelling of PE				reactome:R-BTA-1483206	
R-BTA-1482883	Acyl chain remodeling of DAG and TAG				reactome:R-BTA-1483206	
R-BTA-1482922	Acyl chain remodelling of PI				reactome:R-BTA-1483206	
R-BTA-1482925	Acyl chain remodelling of PG				reactome:R-BTA-1483206	
R-BTA-1483076	Synthesis of CL				reactome:R-BTA-1483206	
R-BTA-1483101	Synthesis of PS				reactome:R-BTA-1483206	
R-BTA-1483115	Hydrolysis of LPC				reactome:R-BTA-1483206	
R-BTA-1483148	Synthesis of PG				reactome:R-BTA-1483206	
R-BTA-1483166	Synthesis of PA				reactome:R-BTA-1483206	
R-BTA-1483191	Synthesis of PC				reactome:R-BTA-1483206	
R-BTA-1483196	PI and PC transport between ER and Golgi membranes				reactome:R-BTA-1483206|reactome:R-BTA-1483255	
R-BTA-1483206	Glycerophospholipid biosynthesis				reactome:R-BTA-1483257	
R-BTA-1483213	Synthesis of PE				reactome:R-BTA-1483206	
R-BTA-1483226	Synthesis of PI				reactome:R-BTA-1483206	
R-BTA-1483248	Synthesis of PIPs at the ER membrane				reactome:R-BTA-1483255	
R-BTA-1483249	Inositol phosphate metabolism				reactome:R-BTA-1430728	
R-BTA-1483255	PI Metabolism				reactome:R-BTA-1483257	
R-BTA-1483257	Phospholipid metabolism				reactome:R-BTA-556833	
R-BTA-1489509	DAG and IP3 signaling				reactome:R-BTA-9006925	
R-BTA-1500620	Meiosis				reactome:R-BTA-1474165|reactome:R-BTA-1640170	
R-BTA-1500931	Cell-Cell communication					
R-BTA-1502540	Signaling by Activin				reactome:R-BTA-9006936	
R-BTA-1538133	G0 and Early G1				reactome:R-BTA-453279	
R-BTA-156580	Phase II - Conjugation of compounds				reactome:R-BTA-211859	
R-BTA-156581	Methylation				reactome:R-BTA-156580	
R-BTA-156582	Acetylation				reactome:R-BTA-156580	
R-BTA-156584	Cytosolic sulfonation of small molecules				reactome:R-BTA-156580	
R-BTA-156587	Amino Acid conjugation				reactome:R-BTA-156580	
R-BTA-156588	Glucuronidation				reactome:R-BTA-156580	
R-BTA-156590	Glutathione conjugation				reactome:R-BTA-156580	
R-BTA-1566948	Elastic fibre formation				reactome:R-BTA-1474244	
R-BTA-1566977	Fibronectin matrix formation				reactome:R-BTA-1474244	
R-BTA-156711	Polo-like kinase mediated events				reactome:R-BTA-69275	
R-BTA-156827	L13a-mediated translational silencing of Ceruloplasmin expression				reactome:R-BTA-72613	
R-BTA-156842	Eukaryotic Translation Elongation				reactome:R-BTA-72766	
R-BTA-156902	Peptide chain elongation				reactome:R-BTA-156842	
R-BTA-157118	Signaling by NOTCH				reactome:R-BTA-162582	
R-BTA-157579	Telomere Maintenance				reactome:R-BTA-73886	
R-BTA-157858	Gap junction trafficking and regulation				reactome:R-BTA-199991	
R-BTA-15869	Metabolism of nucleotides				reactome:R-BTA-1430728	
R-BTA-1592230	Mitochondrial biogenesis				reactome:R-BTA-1852241	
R-BTA-159227	Transport of the SLBP independent Mature mRNA				reactome:R-BTA-159234	
R-BTA-159230	Transport of the SLBP Dependant Mature mRNA				reactome:R-BTA-159234	
R-BTA-159231	Transport of Mature mRNA Derived from an Intronless Transcript				reactome:R-BTA-159234	
R-BTA-159234	Transport of Mature mRNAs Derived from Intronless Transcripts				reactome:R-BTA-72202	
R-BTA-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript				reactome:R-BTA-72202	
R-BTA-1592389	Activation of Matrix Metalloproteinases				reactome:R-BTA-1474228	
R-BTA-159418	Recycling of bile acids and salts				reactome:R-BTA-194068	
R-BTA-159424	Conjugation of carboxylic acids				reactome:R-BTA-156587	
R-BTA-159740	Gamma-carboxylation of protein precursors				reactome:R-BTA-159854	
R-BTA-159763	Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus				reactome:R-BTA-159854	
R-BTA-159782	Removal of aminoterminal propeptides from gamma-carboxylated proteins				reactome:R-BTA-159854	
R-BTA-159854	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins				reactome:R-BTA-163841	
R-BTA-1606322	ZBP1(DAI) mediated induction of type I IFNs				reactome:R-BTA-1834949	
R-BTA-1606341	IRF3 mediated activation of type 1 IFN				reactome:R-BTA-1606322	
R-BTA-1614517	Sulfide oxidation to sulfate				reactome:R-BTA-1614558	
R-BTA-1614558	Degradation of cysteine and homocysteine				reactome:R-BTA-1614635	
R-BTA-1614603	Cysteine formation from homocysteine				reactome:R-BTA-1614635	
R-BTA-1614635	Sulfur amino acid metabolism				reactome:R-BTA-71291	
R-BTA-162582	Signal Transduction					
R-BTA-162658	Golgi Cisternae Pericentriolar Stack Reorganization				reactome:R-BTA-68875	
R-BTA-162699	Synthesis of dolichyl-phosphate mannose				reactome:R-BTA-163125|reactome:R-BTA-446219	
R-BTA-162710	Synthesis of glycosylphosphatidylinositol (GPI)				reactome:R-BTA-163125	
R-BTA-162791	Attachment of GPI anchor to uPAR				reactome:R-BTA-163125	
R-BTA-1630316	Glycosaminoglycan metabolism				reactome:R-BTA-71387	
R-BTA-163125	Post-translational modification: synthesis of GPI-anchored proteins				reactome:R-BTA-597592	
R-BTA-163210	Formation of ATP by chemiosmotic coupling				reactome:R-BTA-1428517	
R-BTA-163282	Mitochondrial transcription initiation				reactome:R-BTA-75944	
R-BTA-1632852	Macroautophagy				reactome:R-BTA-9612973	
R-BTA-163316	Mitochondrial transcription termination				reactome:R-BTA-75944	
R-BTA-163359	Glucagon signaling in metabolic regulation				reactome:R-BTA-163685	
R-BTA-163560	Triglyceride catabolism				reactome:R-BTA-8979227	
R-BTA-163615	PKA activation				reactome:R-BTA-111931	
R-BTA-163680	AMPK inhibits chREBP transcriptional activation activity				reactome:R-BTA-163685	
R-BTA-163685	Integration of energy metabolism				reactome:R-BTA-1430728	
R-BTA-163754	Insulin effects increased synthesis of Xylulose-5-Phosphate				reactome:R-BTA-163685	
R-BTA-1638074	Keratan sulfate/keratin metabolism				reactome:R-BTA-1630316	
R-BTA-1638091	Heparan sulfate/heparin (HS-GAG) metabolism				reactome:R-BTA-1630316	
R-BTA-163841	Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation				reactome:R-BTA-597592	
R-BTA-1640170	Cell Cycle					
R-BTA-164378	PKA activation in glucagon signalling				reactome:R-BTA-163359	
R-BTA-1650814	Collagen biosynthesis and modifying enzymes				reactome:R-BTA-1474290	
R-BTA-165158	Activation of AKT2				reactome:R-BTA-109704	
R-BTA-165159	MTOR signalling				reactome:R-BTA-162582	
R-BTA-165160	PDE3B signalling				reactome:R-BTA-109703	
R-BTA-165181	Inhibition of TSC complex formation by PKB				reactome:R-BTA-165159	
