identifier	name	definition	synonyms	alts	parents	species
39056	HERC2P10	HERC2 pseudogene 10	hect domain and RLD 2 pseudogene 10		so:0000336	ncbitaxon:9606
39057	ERVH-5	endogenous retrovirus group H member 5	clone c14.6|endogenous retrovirus group H, member 5		so:0000100	ncbitaxon:9606
39058	ERVH-6	endogenous retrovirus group H member 6	endogenous retrovirus group H, member 6		so:0000100	ncbitaxon:9606
39059	ERVH-7	endogenous retrovirus group H member 7	TCONS_00022381|endogenous retrovirus group H, member 7		so:0000100	ncbitaxon:9606
3906	FRA5B	fragile site, BrdU type, common, fra(5)(q15)			so:0002349	ncbitaxon:9606
39060	ERV9-1	endogenous retrovirus group 9 member 1	endogenous retrovirus group 9, member 1|pTR2		so:0000100	ncbitaxon:9606
39062	AK3P3	AK3 pseudogene 3	adenylate kinase 3 pseudogene 3		so:0000336	ncbitaxon:9606
39063	AK3P4	AK3 pseudogene 4	adenylate kinase 3 pseudogene 4		so:0000336	ncbitaxon:9606
39064	AK3P5	AK3 pseudogene 5	adenylate kinase 3 pseudogene 5		so:0000336	ncbitaxon:9606
39065	AK3P6	AK3 pseudogene 6	adenylate kinase 3 pseudogene 6		so:0000336	ncbitaxon:9606
39066	AK4P2	adenylate kinase 4 pseudogene 2			so:0000336	ncbitaxon:9606
39067	AK4P4	adenylate kinase 4 pseudogene 4			so:0000336	ncbitaxon:9606
39068	AK4P5	adenylate kinase 4 pseudogene 5			so:0000336	ncbitaxon:9606
39069	AK4P6	adenylate kinase 4 pseudogene 6			so:0000336	ncbitaxon:9606
3907	FRA5C	fragile site, aphidicolin type, common, fra(5)(q31.1)			so:0002349	ncbitaxon:9606
39070	API5P2	apoptosis inhibitor 5 pseudogene 2	API5 pseudogene 2		so:0000336	ncbitaxon:9606
39071	ELFN1-AS1	ELFN1 antisense RNA 1	MYCLo-2		so:0002127	ncbitaxon:9606
39073	BCRP1	BCR pseudogene 1	BCR-1|breakpoint cluster region pseudogene 1		so:0000336	ncbitaxon:9606
39074	BCRP6	BCR pseudogene 6	breakpoint cluster region pseudogene 6		so:0000336	ncbitaxon:9606
39075	BCRP7	BCR pseudogene 7	breakpoint cluster region pseudogene 7		so:0000336	ncbitaxon:9606
39076	BCRP8	BCR pseudogene 8	breakpoint cluster region pseudogene 8		so:0000336	ncbitaxon:9606
