subject_id	subject_label	predicate_id	predicate_label	object_id	mapping_justification	license	subject_source	mapping_source
goldbook:D01746	Dimroth–Reichardt <em>E</em><sub>T</sub> parameter	rdfs:seeAlso	see also	goldbook:Z06737	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01747	diode laser	rdfs:seeAlso	see also	goldbook:A00106	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01747	diode laser	rdfs:seeAlso	see also	goldbook:S05591	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01747	diode laser	rdfs:seeAlso	see also	goldbook:S05736	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01748	diols	rdfs:seeAlso	see also	goldbook:A00217	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01748	diols	rdfs:seeAlso	see also	goldbook:G02654	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01751	dipolar aprotic solvent	rdfs:seeAlso	see also	goldbook:A00425	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01751	dipolar aprotic solvent	rdfs:seeAlso	see also	goldbook:D01697	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01751	dipolar aprotic solvent	rdfs:seeAlso	see also	goldbook:D01761	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01751	dipolar aprotic solvent	rdfs:seeAlso	see also	goldbook:L03432	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01751	dipolar aprotic solvent	rdfs:seeAlso	see also	goldbook:P04708	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01751	dipolar aprotic solvent	rdfs:seeAlso	see also	goldbook:P04904	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01751	dipolar aprotic solvent	rdfs:seeAlso	see also	goldbook:P04916	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01751	dipolar aprotic solvent	rdfs:seeAlso	see also	goldbook:R05273	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
