identifier	name	definition	synonyms	alts	parents	species
08083	intralaboratory comparison	Organization, performance, and evaluation of measurements or tests on the same or similar items within the same laboratory in accordance with predetermined conditions.				
08084	laboratory information management system	Information system which can provide services to one or more measuring systems.	laboratory information system			
08085	material characterization study	Intralaboratory comparison or interlaboratory comparison with the aim of assigning a reference quantity value to a quantity with stated measurement uncertainty or value to a reference nominal property value with stated examination uncertainty.				
08086	matrix reference material	Reference material that is characteristic of a real sample.				
08087	measurement capability	Ability to measure a quantity in a specified interval of quantity values, embodied in a specified material, as demonstrated by measurement uncertainty.				
08088	measurement precision control material	Quality control material with or without reference quantity value used in quality control to assess measurement precision.	precision control material			
08089	measurement trueness control material	Quality control material with reference quantity value used in quality control to estimate a systematic measurement error.				
08090	method performance study	Intra- or interlaboratory study of one or more performance characteristics of a measurement procedure.				
08091	organization	Person or group of people that has its own functions with responsibilities, authorities, and relationships to achieve its objectives.				
08092	out-of-control criteria	Set of decision rules for identifying the presence of special causes.				
08093	participant in an interlaboratory comparison	Laboratory, organization, or person that receives test items and submits results for review by the coordinator of an interlaboratory comparison.	participant			
08094	performance characteristic of a measurement procedure	Aspect of a measurement procedure that may be quantitatively investigated and assessed as part of procedure validation.	performance characteristic|performance characteristic of a measurement method			
08095	performance score	Statistic, derived from a result reported by a participant in a proficiency testing scheme, used in interpretation of participant performance and to allow comparison with defined objectives.	performance statistic			
08096	precision limit	Quantity value, less than or equal to what the absolute difference between two measured quantity values obtained under specified conditions of measurement is expected to be with a given probability.				
08097	procedure validation	Process of defining an analytical requirement and confirming that the procedure under consideration has capabilities consistent with that requirement.				
08098	procedure verification	Confirmation, through the provision of objective evidence, that the procedure fulfils specified requirements.				
08099	process in a state of statistical control	Process subject only to random causes.	process in statistical control|stable process			
08100	proficiency test item	Sample, product, artefact, reference material, piece of equipment, measurement standard, data set, or other information used for proficiency testing.	PT item			
08101	proficiency testing	Evaluation of the performance of a participant in an interlaboratory comparison against pre-established criteria.	PT			
08102	proficiency testing provider	Organization which takes responsibility for all tasks in the development and operation of a proficiency testing scheme.	PT provider			
08103	proficiency testing round	Single complete sequence from distribution of proficiency test items to reporting of the evaluation results to the participants.	PT round			
08104	proficiency testing scheme	Proficiency testing designed and operated in one or more proficiency testing rounds for a specified area of testing, measurement, calibration, or inspection.	PT scheme			
08105	protocol for interlaboratory comparison	Detailed set of instructions describing the objectives, design, conduct, and reporting of an interlaboratory comparison.				
08106	quality	Degree to which a set of inherent characteristics of an object fulfils requirements.				
08107	quality control material	Material used for the purposes of quality control and subjected to the same or part of the same measurement procedure as that used for analytical samples.	control material			
08108	quality improvement	Part of quality management focused on increasing the ability to fulfil requirements for quality.				
08109	quality management	Coordinated activities to direct and control an organization with regard to quality.				
08110	quality management system	Part of a set of interrelated or interacting elements of an organization to establish quality policies and quality objectives and processes to achieve those objectives.				
08111	quality manual	Specification for the quality management system of an organization.				
08112	quality objective	Result to be achieved related to quality.				
08113	quality plan	Specification of the procedures and associated resources to be applied when and by whom to a specific object.				
08114	quality planning	Part of quality management focused on setting quality objectives and specifying necessary operational processes and related resources to achieve the quality objectives.				
08115	quality policy	Intentions and direction of a laboratory as formally expressed by its top management related to quality.				
08116	reference laboratory	Laboratory that applies a reference measurement procedure, a reference examination procedure, or performs a calibration.				
08117	reference material certificate	Document, issued by a reference material producer, containing the essential information for the use of a certified reference material and confirming that the necessary procedures have been carried out to ensure the validity and traceability of the stated property values.				
08118	reference material certification	Process that formally establishes the certified property value(s) of a candidate certified reference material.	certification of a reference material			
08119	reference material certification report	Document giving detailed information, in addition to that contained in a reference material certificate.	certification report			
08120	reference material producer	Technically competent body that produces a reference material compliant with the appropriate guidance documents and issues the reference material documentation.	RM producer			
08121	rejection interval	Interval of non-permissible measured quantity values.	rejection zone			
08122	requirement	Need or expectation that is stated, generally implied or obligatory.				
08123	ruggedness of a measurement procedure	Ability of a measurement procedure to maintain acceptable performance under minor changes in operating conditions.	robustness of a measurement procedure			
08124	sensitivity of a measuring system	Quotient of the change in an indication of a measuring system and the corresponding change in a quantity being measured.	analytical sensitivity|sensitivity			
08125	Shewhart control chart	Control chart with Shewhart control limits intended primarily to distinguish between the variation in the plotted measure due to random causes and that due to special causes.				
08126	Shewhart control limit	Control limit determined statistically from the variation of the process due to random causes alone.				
