text	curie	name	predicate	type	provenance	source
stable process	goldbook:08099	process in a state of statistical control	oboInOwl:hasRelatedSynonym			goldbook
process in a state of statistical control	goldbook:08099	process in a state of statistical control	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
PT item	goldbook:08100	proficiency test item	oboInOwl:hasRelatedSynonym			goldbook
proficiency test item	goldbook:08100	proficiency test item	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
PT	goldbook:08101	proficiency testing	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
proficiency testing	goldbook:08101	proficiency testing	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
PT provider	goldbook:08102	proficiency testing provider	oboInOwl:hasRelatedSynonym			goldbook
proficiency testing provider	goldbook:08102	proficiency testing provider	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
PT round	goldbook:08103	proficiency testing round	oboInOwl:hasRelatedSynonym			goldbook
proficiency testing round	goldbook:08103	proficiency testing round	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
PT scheme	goldbook:08104	proficiency testing scheme	oboInOwl:hasRelatedSynonym			goldbook
proficiency testing scheme	goldbook:08104	proficiency testing scheme	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
protocol for interlaboratory comparison	goldbook:08105	protocol for interlaboratory comparison	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
quality	goldbook:08106	quality	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
control material	goldbook:08107	quality control material	oboInOwl:hasRelatedSynonym			goldbook
quality control material	goldbook:08107	quality control material	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
quality improvement	goldbook:08108	quality improvement	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
quality management	goldbook:08109	quality management	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
quality management system	goldbook:08110	quality management system	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
quality manual	goldbook:08111	quality manual	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
quality objective	goldbook:08112	quality objective	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
quality plan	goldbook:08113	quality plan	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
quality planning	goldbook:08114	quality planning	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
quality policy	goldbook:08115	quality policy	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
reference laboratory	goldbook:08116	reference laboratory	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
reference material certificate	goldbook:08117	reference material certificate	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
certification of a reference material	goldbook:08118	reference material certification	oboInOwl:hasRelatedSynonym			goldbook
reference material certification	goldbook:08118	reference material certification	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
certification report	goldbook:08119	reference material certification report	oboInOwl:hasRelatedSynonym			goldbook
reference material certification report	goldbook:08119	reference material certification report	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
RM producer	goldbook:08120	reference material producer	oboInOwl:hasRelatedSynonym			goldbook
reference material producer	goldbook:08120	reference material producer	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
rejection zone	goldbook:08121	rejection interval	oboInOwl:hasRelatedSynonym			goldbook
rejection interval	goldbook:08121	rejection interval	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
requirement	goldbook:08122	requirement	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
robustness of a measurement procedure	goldbook:08123	ruggedness of a measurement procedure	oboInOwl:hasRelatedSynonym			goldbook
ruggedness of a measurement procedure	goldbook:08123	ruggedness of a measurement procedure	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
analytical sensitivity	goldbook:08124	sensitivity of a measuring system	oboInOwl:hasRelatedSynonym			goldbook
sensitivity	goldbook:08124	sensitivity of a measuring system	oboInOwl:hasRelatedSynonym			goldbook
sensitivity of a measuring system	goldbook:08124	sensitivity of a measuring system	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
Shewhart control chart	goldbook:08125	Shewhart control chart	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
Shewhart control limit	goldbook:08126	Shewhart control limit	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
Shewhart means chart	goldbook:08127	Shewhart means chart	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
Shewhart range chart	goldbook:08128	Shewhart range chart	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
specified requirement	goldbook:08129	specified requirement	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
standard deviation for proficiency assessment	goldbook:08130	standard deviation for proficiency assessment	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
recommended operating procedure	goldbook:08131	standard operating procedure	oboInOwl:hasRelatedSynonym			goldbook
standard method	goldbook:08131	standard operating procedure	oboInOwl:hasRelatedSynonym			goldbook
standard operating procedure	goldbook:08131	standard operating procedure	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
SPC	goldbook:08132	statistical process control	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
statistical process control	goldbook:08132	statistical process control	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
target measurement uncertainty	goldbook:08133	target measurement uncertainty	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
specified tolerance	goldbook:08134	tolerance	oboInOwl:hasRelatedSynonym			goldbook
tolerance	goldbook:08134	tolerance	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
specification zone	goldbook:08135	tolerance interval	oboInOwl:hasRelatedSynonym			goldbook
tolerance interval	goldbook:08135	tolerance interval	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
specification limit	goldbook:08136	tolerance limit	oboInOwl:hasRelatedSynonym			goldbook
tolerance limit	goldbook:08136	tolerance limit	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
TQM	goldbook:08137	total quality management	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
total quality management	goldbook:08137	total quality management	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
validation	goldbook:08138	validation	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
verification	goldbook:08139	verification	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
Youden plot	goldbook:08140	Youden plot	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
activated state	goldbook:08141	activated state	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
ambiphilic	goldbook:08142	ambiphilic	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
