identifier	name	definition	synonyms	alts	parents	species
CC-BY-NC-2.0	Creative Commons Attribution Non Commercial 2.0 Generic		CC-BY-NC-2.0		spdx.term:ListedLicense	
CC-BY-NC-2.5	Creative Commons Attribution Non Commercial 2.5 Generic		CC-BY-NC-2.5		spdx.term:ListedLicense	
CC-BY-NC-3.0	Creative Commons Attribution Non Commercial 3.0 Unported		CC-BY-NC-3.0		spdx.term:ListedLicense	
CC-BY-NC-3.0-DE	Creative Commons Attribution Non Commercial 3.0 Germany		CC-BY-NC-3.0-DE		spdx.term:ListedLicense	
CC-BY-NC-4.0	Creative Commons Attribution Non Commercial 4.0 International		CC-BY-NC-4.0		spdx.term:ListedLicense	
CC-BY-NC-ND-1.0	Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic		CC-BY-NC-ND-1.0		spdx.term:ListedLicense	
CC-BY-NC-ND-2.0	Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic		CC-BY-NC-ND-2.0		spdx.term:ListedLicense	
CC-BY-NC-ND-2.5	Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic		CC-BY-NC-ND-2.5		spdx.term:ListedLicense	
CC-BY-NC-ND-3.0	Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported		CC-BY-NC-ND-3.0		spdx.term:ListedLicense	
CC-BY-NC-ND-3.0-DE	Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany		CC-BY-NC-ND-3.0-DE		spdx.term:ListedLicense	
CC-BY-NC-ND-3.0-IGO	Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO		CC-BY-NC-ND-3.0-IGO		spdx.term:ListedLicense	
CC-BY-NC-ND-4.0	Creative Commons Attribution Non Commercial No Derivatives 4.0 International		CC-BY-NC-ND-4.0		spdx.term:ListedLicense	
CC-BY-NC-SA-1.0	Creative Commons Attribution Non Commercial Share Alike 1.0 Generic		CC-BY-NC-SA-1.0		spdx.term:ListedLicense	
CC-BY-NC-SA-2.0	Creative Commons Attribution Non Commercial Share Alike 2.0 Generic		CC-BY-NC-SA-2.0		spdx.term:ListedLicense	
CC-BY-NC-SA-2.0-DE	Creative Commons Attribution Non Commercial Share Alike 2.0 Germany		CC-BY-NC-SA-2.0-DE		spdx.term:ListedLicense	
CC-BY-NC-SA-2.0-FR	Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France		CC-BY-NC-SA-2.0-FR		spdx.term:ListedLicense	
CC-BY-NC-SA-2.0-UK	Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales		CC-BY-NC-SA-2.0-UK		spdx.term:ListedLicense	
CC-BY-NC-SA-2.5	Creative Commons Attribution Non Commercial Share Alike 2.5 Generic		CC-BY-NC-SA-2.5		spdx.term:ListedLicense	
CC-BY-NC-SA-3.0	Creative Commons Attribution Non Commercial Share Alike 3.0 Unported		CC-BY-NC-SA-3.0		spdx.term:ListedLicense	
CC-BY-NC-SA-3.0-DE	Creative Commons Attribution Non Commercial Share Alike 3.0 Germany		CC-BY-NC-SA-3.0-DE		spdx.term:ListedLicense	
CC-BY-NC-SA-3.0-IGO	Creative Commons Attribution Non Commercial Share Alike 3.0 IGO		CC-BY-NC-SA-3.0-IGO		spdx.term:ListedLicense	
CC-BY-NC-SA-4.0	Creative Commons Attribution Non Commercial Share Alike 4.0 International		CC-BY-NC-SA-4.0		spdx.term:ListedLicense	
CC-BY-ND-1.0	Creative Commons Attribution No Derivatives 1.0 Generic		CC-BY-ND-1.0		spdx.term:ListedLicense	
CC-BY-ND-2.0	Creative Commons Attribution No Derivatives 2.0 Generic		CC-BY-ND-2.0		spdx.term:ListedLicense	
CC-BY-ND-2.5	Creative Commons Attribution No Derivatives 2.5 Generic		CC-BY-ND-2.5		spdx.term:ListedLicense	
CC-BY-ND-3.0	Creative Commons Attribution No Derivatives 3.0 Unported		CC-BY-ND-3.0		spdx.term:ListedLicense	
CC-BY-ND-3.0-DE	Creative Commons Attribution No Derivatives 3.0 Germany		CC-BY-ND-3.0-DE		spdx.term:ListedLicense	
CC-BY-ND-4.0	Creative Commons Attribution No Derivatives 4.0 International		CC-BY-ND-4.0		spdx.term:ListedLicense	
CC-BY-SA-1.0	Creative Commons Attribution Share Alike 1.0 Generic		CC-BY-SA-1.0		spdx.term:ListedLicense	
CC-BY-SA-2.0	Creative Commons Attribution Share Alike 2.0 Generic		CC-BY-SA-2.0		spdx.term:ListedLicense	
CC-BY-SA-2.0-UK	Creative Commons Attribution Share Alike 2.0 England and Wales		CC-BY-SA-2.0-UK		spdx.term:ListedLicense	
CC-BY-SA-2.1-JP	Creative Commons Attribution Share Alike 2.1 Japan		CC-BY-SA-2.1-JP		spdx.term:ListedLicense	
CC-BY-SA-2.5	Creative Commons Attribution Share Alike 2.5 Generic		CC-BY-SA-2.5		spdx.term:ListedLicense	
CC-BY-SA-3.0	Creative Commons Attribution Share Alike 3.0 Unported		CC-BY-SA-3.0		spdx.term:ListedLicense	
CC-BY-SA-3.0-AT	Creative Commons Attribution Share Alike 3.0 Austria		CC-BY-SA-3.0-AT		spdx.term:ListedLicense	
CC-BY-SA-3.0-DE	Creative Commons Attribution Share Alike 3.0 Germany		CC-BY-SA-3.0-DE		spdx.term:ListedLicense	
CC-BY-SA-3.0-IGO	Creative Commons Attribution-ShareAlike 3.0 IGO		CC-BY-SA-3.0-IGO		spdx.term:ListedLicense	
CC-BY-SA-4.0	Creative Commons Attribution Share Alike 4.0 International		CC-BY-SA-4.0		spdx.term:ListedLicense	
CC-PDDC	Creative Commons Public Domain Dedication and Certification		CC-PDDC		spdx.term:ListedLicense	
CC-PDM-1.0	Creative    Commons Public Domain Mark 1.0 Universal		CC-PDM-1.0		spdx.term:ListedLicense	
