text	curie	name	predicate	source
Lead Poisoning	pharmgkb.disease:PA166048926	Lead Poisoning	rdfs:label	pharmgkb.disease
Colitis, Ischemic	pharmgkb.disease:PA166048927	Colitis, Ischemic	rdfs:label	pharmgkb.disease
Dracunculiasis	pharmgkb.disease:PA166048928	Dracunculiasis	rdfs:label	pharmgkb.disease
Acral erythema	pharmgkb.disease:PA166114377	Hand-foot syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hand and foot skin reaction	pharmgkb.disease:PA166114377	Hand-foot syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hand and foot syndrome	pharmgkb.disease:PA166114377	Hand-foot syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hand and foot syndrome secondary to chemotherapy	pharmgkb.disease:PA166114377	Hand-foot syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hand-and-foot syndrome	pharmgkb.disease:PA166114377	Hand-foot syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Palmar-plantar erythema	pharmgkb.disease:PA166114377	Hand-foot syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Palmar-plantar erythrodysaesthesia syndrome	pharmgkb.disease:PA166114377	Hand-foot syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Palmar-plantar erythrodysesthesia syndrome	pharmgkb.disease:PA166114377	Hand-foot syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hand-foot syndrome	pharmgkb.disease:PA166114377	Hand-foot syndrome	rdfs:label	pharmgkb.disease
Allograft rejection	pharmgkb.disease:PA166114454	Transplant rejection	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Graft rejection	pharmgkb.disease:PA166114454	Transplant rejection	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Transplant rejection	pharmgkb.disease:PA166114454	Transplant rejection	rdfs:label	pharmgkb.disease
Acute cellular rejection	pharmgkb.disease:PA166114455	Acute cellular rejection	rdfs:label	pharmgkb.disease
Lung transplantation	pharmgkb.disease:PA166114457	Lung transplantation	rdfs:label	pharmgkb.disease
Heart transplantation	pharmgkb.disease:PA166114458	Heart transplantation	rdfs:label	pharmgkb.disease
Familial hypercholesterolemia - homozygous	pharmgkb.disease:PA166114924	Homozygous familial hypercholesterolemia	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Homozygous familial hypercholesterolemia	pharmgkb.disease:PA166114924	Homozygous familial hypercholesterolemia	rdfs:label	pharmgkb.disease
Familial hypercholesterolemia	pharmgkb.disease:PA166114942	Familial hypercholesterolemia	rdfs:label	pharmgkb.disease
Absent salivary secretion	pharmgkb.disease:PA166115462	Dry mouth	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Aptyalia	pharmgkb.disease:PA166115462	Dry mouth	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Asialia	pharmgkb.disease:PA166115462	Dry mouth	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Asialias	pharmgkb.disease:PA166115462	Dry mouth	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Dryness	pharmgkb.disease:PA166115462	Dry mouth	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hyposalivation	pharmgkb.disease:PA166115462	Dry mouth	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hyposalivations	pharmgkb.disease:PA166115462	Dry mouth	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hyposecretion of salivary gland	pharmgkb.disease:PA166115462	Dry mouth	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Mouth	pharmgkb.disease:PA166115462	Dry mouth	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Mouth Dryness	pharmgkb.disease:PA166115462	Dry mouth	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Xerostomias	pharmgkb.disease:PA166115462	Dry mouth	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Dry mouth	pharmgkb.disease:PA166115462	Dry mouth	rdfs:label	pharmgkb.disease
Contralateral breast cancer	pharmgkb.disease:PA166119021	Bilateral breast carcinoma	oboInOwl:hasRelatedSynonym	pharmgkb.disease
bilateral breast cancer	pharmgkb.disease:PA166119021	Bilateral breast carcinoma	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Bilateral breast carcinoma	pharmgkb.disease:PA166119021	Bilateral breast carcinoma	rdfs:label	pharmgkb.disease
Methamphetamine dependence	pharmgkb.disease:PA166119022	Methamphetamine dependence	rdfs:label	pharmgkb.disease
DILI	pharmgkb.disease:PA166119041	Drug-induced liver injury	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Drug induced liver injury	pharmgkb.disease:PA166119041	Drug-induced liver injury	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Drug-induced hepatotoxicity	pharmgkb.disease:PA166119041	Drug-induced liver injury	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Drug-induced liver injury	pharmgkb.disease:PA166119041	Drug-induced liver injury	rdfs:label	pharmgkb.disease
DRESS Syndrome	pharmgkb.disease:PA166120927	Drug Reaction with Eosinophilia and Systemic Symptoms	oboInOwl:hasRelatedSynonym	pharmgkb.disease
drug rash with eosinophilia and systemic symptoms	pharmgkb.disease:PA166120927	Drug Reaction with Eosinophilia and Systemic Symptoms	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Drug Reaction with Eosinophilia and Systemic Symptoms	pharmgkb.disease:PA166120927	Drug Reaction with Eosinophilia and Systemic Symptoms	rdfs:label	pharmgkb.disease
SCARs	pharmgkb.disease:PA166120929	Severe Cutaneous Adverse Reactions	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Severe Cutaneous Adverse Reactions	pharmgkb.disease:PA166120929	Severe Cutaneous Adverse Reactions	rdfs:label	pharmgkb.disease
Mucositides	pharmgkb.disease:PA166122058	Mucositis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Mucositis	pharmgkb.disease:PA166122058	Mucositis	rdfs:label	pharmgkb.disease
Musculoskeletal	pharmgkb.disease:PA166122208	Musculoskeletal pain	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Musculoskeletal Pains	pharmgkb.disease:PA166122208	Musculoskeletal pain	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Pain	pharmgkb.disease:PA166122208	Musculoskeletal pain	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Pains	pharmgkb.disease:PA166122208	Musculoskeletal pain	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Musculoskeletal pain	pharmgkb.disease:PA166122208	Musculoskeletal pain	rdfs:label	pharmgkb.disease
hepatic steatosis	pharmgkb.disease:PA166122489	hepatic steatosis	rdfs:label	pharmgkb.disease
Postanaesthesia apnoea	pharmgkb.disease:PA166122649	Butyrylcholinesterase deficiency	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Postanesthesia apnea (finding)	pharmgkb.disease:PA166122649	Butyrylcholinesterase deficiency	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Butyrylcholinesterase deficiency	pharmgkb.disease:PA166122649	Butyrylcholinesterase deficiency	rdfs:label	pharmgkb.disease
Marchiafava-Micheli syndrome	pharmgkb.disease:PA166122772	Paroxysmal nocturnal hemoglobinuria	oboInOwl:hasRelatedSynonym	pharmgkb.disease
PNH	pharmgkb.disease:PA166122772	Paroxysmal nocturnal hemoglobinuria	oboInOwl:hasRelatedSynonym	pharmgkb.disease
PNH - Paroxysmal nocturnal haemoglobinuria	pharmgkb.disease:PA166122772	Paroxysmal nocturnal hemoglobinuria	oboInOwl:hasRelatedSynonym	pharmgkb.disease
