text	curie	name	predicate	source
Creative Commons Attribution Non Commercial Share Alike 3.0 Germany	spdx:CC-BY-NC-SA-3.0-DE	Creative Commons Attribution Non Commercial Share Alike 3.0 Germany	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 3.0 IGO	spdx:CC-BY-NC-SA-3.0-IGO	Creative Commons Attribution Non Commercial Share Alike 3.0 IGO	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 4.0 International	spdx:CC-BY-NC-SA-4.0	Creative Commons Attribution Non Commercial Share Alike 4.0 International	rdfs:label	spdx
Creative Commons Attribution No Derivatives 1.0 Generic	spdx:CC-BY-ND-1.0	Creative Commons Attribution No Derivatives 1.0 Generic	rdfs:label	spdx
Creative Commons Attribution No Derivatives 2.0 Generic	spdx:CC-BY-ND-2.0	Creative Commons Attribution No Derivatives 2.0 Generic	rdfs:label	spdx
Creative Commons Attribution No Derivatives 2.5 Generic	spdx:CC-BY-ND-2.5	Creative Commons Attribution No Derivatives 2.5 Generic	rdfs:label	spdx
Creative Commons Attribution No Derivatives 3.0 Unported	spdx:CC-BY-ND-3.0	Creative Commons Attribution No Derivatives 3.0 Unported	rdfs:label	spdx
Creative Commons Attribution No Derivatives 3.0 Germany	spdx:CC-BY-ND-3.0-DE	Creative Commons Attribution No Derivatives 3.0 Germany	rdfs:label	spdx
Creative Commons Attribution No Derivatives 4.0 International	spdx:CC-BY-ND-4.0	Creative Commons Attribution No Derivatives 4.0 International	rdfs:label	spdx
Creative Commons Attribution Share Alike 1.0 Generic	spdx:CC-BY-SA-1.0	Creative Commons Attribution Share Alike 1.0 Generic	rdfs:label	spdx
Creative Commons Attribution Share Alike 2.0 Generic	spdx:CC-BY-SA-2.0	Creative Commons Attribution Share Alike 2.0 Generic	rdfs:label	spdx
Creative Commons Attribution Share Alike 2.0 England and Wales	spdx:CC-BY-SA-2.0-UK	Creative Commons Attribution Share Alike 2.0 England and Wales	rdfs:label	spdx
Creative Commons Attribution Share Alike 2.1 Japan	spdx:CC-BY-SA-2.1-JP	Creative Commons Attribution Share Alike 2.1 Japan	rdfs:label	spdx
Creative Commons Attribution Share Alike 2.5 Generic	spdx:CC-BY-SA-2.5	Creative Commons Attribution Share Alike 2.5 Generic	rdfs:label	spdx
Creative Commons Attribution Share Alike 3.0 Unported	spdx:CC-BY-SA-3.0	Creative Commons Attribution Share Alike 3.0 Unported	rdfs:label	spdx
Creative Commons Attribution Share Alike 3.0 Austria	spdx:CC-BY-SA-3.0-AT	Creative Commons Attribution Share Alike 3.0 Austria	rdfs:label	spdx
Creative Commons Attribution Share Alike 3.0 Germany	spdx:CC-BY-SA-3.0-DE	Creative Commons Attribution Share Alike 3.0 Germany	rdfs:label	spdx
Creative Commons Attribution-ShareAlike 3.0 IGO	spdx:CC-BY-SA-3.0-IGO	Creative Commons Attribution-ShareAlike 3.0 IGO	rdfs:label	spdx
Creative Commons Attribution Share Alike 4.0 International	spdx:CC-BY-SA-4.0	Creative Commons Attribution Share Alike 4.0 International	rdfs:label	spdx
Creative Commons Public Domain Dedication and Certification	spdx:CC-PDDC	Creative Commons Public Domain Dedication and Certification	rdfs:label	spdx
Creative    Commons Public Domain Mark 1.0 Universal	spdx:CC-PDM-1.0	Creative    Commons Public Domain Mark 1.0 Universal	rdfs:label	spdx
Creative Commons Share Alike 1.0 Generic	spdx:CC-SA-1.0	Creative Commons Share Alike 1.0 Generic	rdfs:label	spdx
Creative Commons Zero v1.0 Universal	spdx:CC0-1.0	Creative Commons Zero v1.0 Universal	rdfs:label	spdx
Common Development and Distribution License 1.0	spdx:CDDL-1.0	Common Development and Distribution License 1.0	rdfs:label	spdx
Common Development and Distribution License 1.1	spdx:CDDL-1.1	Common Development and Distribution License 1.1	rdfs:label	spdx
Common Documentation License 1.0	spdx:CDL-1.0	Common Documentation License 1.0	rdfs:label	spdx
Community Data License Agreement Permissive 1.0	spdx:CDLA-Permissive-1.0	Community Data License Agreement Permissive 1.0	rdfs:label	spdx
Community Data License Agreement Permissive 2.0	spdx:CDLA-Permissive-2.0	Community Data License Agreement Permissive 2.0	rdfs:label	spdx
Community Data License Agreement Sharing 1.0	spdx:CDLA-Sharing-1.0	Community Data License Agreement Sharing 1.0	rdfs:label	spdx
CeCILL Free Software License Agreement v1.0	spdx:CECILL-1.0	CeCILL Free Software License Agreement v1.0	rdfs:label	spdx
CeCILL Free Software License Agreement v1.1	spdx:CECILL-1.1	CeCILL Free Software License Agreement v1.1	rdfs:label	spdx
CeCILL Free Software License Agreement v2.0	spdx:CECILL-2.0	CeCILL Free Software License Agreement v2.0	rdfs:label	spdx
CeCILL Free Software License Agreement v2.1	spdx:CECILL-2.1	CeCILL Free Software License Agreement v2.1	rdfs:label	spdx
CeCILL-B Free Software License Agreement	spdx:CECILL-B	CeCILL-B Free Software License Agreement	rdfs:label	spdx
CeCILL-C Free Software License Agreement	spdx:CECILL-C	CeCILL-C Free Software License Agreement	rdfs:label	spdx
CERN Open Hardware Licence v1.1	spdx:CERN-OHL-1.1	CERN Open Hardware Licence v1.1	rdfs:label	spdx
CERN Open Hardware Licence v1.2	spdx:CERN-OHL-1.2	CERN Open Hardware Licence v1.2	rdfs:label	spdx
CERN Open Hardware Licence Version 2 - Permissive	spdx:CERN-OHL-P-2.0	CERN Open Hardware Licence Version 2 - Permissive	rdfs:label	spdx
CERN Open Hardware Licence Version 2 - Strongly Reciprocal	spdx:CERN-OHL-S-2.0	CERN Open Hardware Licence Version 2 - Strongly Reciprocal	rdfs:label	spdx
