text	curie	name	predicate	source
glutamine kinase	eccode:2.7.3.13	glutamine kinase	rdfs:label	eccode
creatine kinase	eccode:2.7.3.2	creatine kinase	rdfs:label	eccode
arginine phosphokinase	eccode:2.7.3.3	arginine kinase	oboInOwl:hasRelatedSynonym	eccode
arginine kinase	eccode:2.7.3.3	arginine kinase	rdfs:label	eccode
taurocyamine kinase	eccode:2.7.3.4	taurocyamine kinase	rdfs:label	eccode
lombricine kinase	eccode:2.7.3.5	lombricine kinase	rdfs:label	eccode
hypotaurocyamine kinase	eccode:2.7.3.6	hypotaurocyamine kinase	rdfs:label	eccode
opheline kinase	eccode:2.7.3.7	opheline kinase	rdfs:label	eccode
ammonia kinase	eccode:2.7.3.8	ammonia kinase	rdfs:label	eccode
enzyme I of the phosphotransferase system	eccode:2.7.3.9	phosphoenolpyruvate--protein phosphotransferase	oboInOwl:hasRelatedSynonym	eccode
phosphoenolpyruvate--protein phosphatase	eccode:2.7.3.9	phosphoenolpyruvate--protein phosphotransferase	oboInOwl:hasRelatedSynonym	eccode
phosphoenolpyruvate sugar phosphotransferase enzyme I	eccode:2.7.3.9	phosphoenolpyruvate--protein phosphotransferase	oboInOwl:hasRelatedSynonym	eccode
phosphopyruvate--protein factor phosphotransferase	eccode:2.7.3.9	phosphoenolpyruvate--protein phosphotransferase	oboInOwl:hasRelatedSynonym	eccode
phosphopyruvate--protein phosphotransferase	eccode:2.7.3.9	phosphoenolpyruvate--protein phosphotransferase	oboInOwl:hasRelatedSynonym	eccode
sugar--PEP phosphotransferase enzyme I	eccode:2.7.3.9	phosphoenolpyruvate--protein phosphotransferase	oboInOwl:hasRelatedSynonym	eccode
phosphoenolpyruvate--protein phosphotransferase	eccode:2.7.3.9	phosphoenolpyruvate--protein phosphotransferase	rdfs:label	eccode
Phosphotransferases with a phosphate group as acceptor	eccode:2.7.4	Phosphotransferases with a phosphate group as acceptor	rdfs:label	eccode
polyphosphate kinase	eccode:2.7.4.1	ATP-polyphosphate phosphotransferase	oboInOwl:hasRelatedSynonym	eccode
polyphosphoric acid kinase	eccode:2.7.4.1	ATP-polyphosphate phosphotransferase	oboInOwl:hasRelatedSynonym	eccode
ATP-polyphosphate phosphotransferase	eccode:2.7.4.1	ATP-polyphosphate phosphotransferase	rdfs:label	eccode
nucleoside-triphosphate--adenylate kinase	eccode:2.7.4.10	nucleoside-triphosphate--adenylate kinase	rdfs:label	eccode
(deoxy)adenylate kinase	eccode:2.7.4.11	(deoxy)adenylate kinase	rdfs:label	eccode
T2-induced deoxynucleotide kinase	eccode:2.7.4.12	T2-induced deoxynucleotide kinase	rdfs:label	eccode
(deoxy)nucleoside-phosphate kinase	eccode:2.7.4.13	(deoxy)nucleoside-phosphate kinase	rdfs:label	eccode
