text	curie	name	predicate	source
3-hydroxyacyl-[acyl-carrier-protein] dehydratase	ec:4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	rdfs:label	ec
galactonate dehydratase	ec:4.2.1.6	galactonate dehydratase	rdfs:label	ec
5alpha-hydroxysteroid dehydratase	ec:4.2.1.62	5alpha-hydroxysteroid dehydratase	rdfs:label	ec
3-cyanoalanine hydratase	ec:4.2.1.65	3-cyanoalanine hydratase	rdfs:label	ec
formamide hydro-lyase	ec:4.2.1.66	cyanide hydratase	oboInOwl:hasRelatedSynonym	ec
cyanide hydratase	ec:4.2.1.66	cyanide hydratase	rdfs:label	ec
D-fuconate dehydratase	ec:4.2.1.67	D-fuconate dehydratase	rdfs:label	ec
L-fuconate dehydratase	ec:4.2.1.68	L-fuconate dehydratase	rdfs:label	ec
cyanamide hydratase	ec:4.2.1.69	cyanamide hydratase	rdfs:label	ec
altronate dehydratase	ec:4.2.1.7	altronate dehydratase	rdfs:label	ec
pseudouridine-5'-phosphate glycosidase	ec:4.2.1.70	pseudouridylate synthase	oboInOwl:hasRelatedSynonym	ec
pseudouridine synthase	ec:4.2.1.70	pseudouridylate synthase	oboInOwl:hasRelatedSynonym	ec
uracil hydrolyase	ec:4.2.1.70	pseudouridylate synthase	oboInOwl:hasRelatedSynonym	ec
pseudouridylate synthase	ec:4.2.1.70	pseudouridylate synthase	rdfs:label	ec
protoaphin-aglucone dehydratase (cyclizing)	ec:4.2.1.73	protoaphin-aglucone dehydratase (cyclizing)	rdfs:label	ec
long-chain-enoyl-CoA hydratase	ec:4.2.1.74	medium-chain-enoyl-CoA hydratase	oboInOwl:hasRelatedSynonym	ec
long-chain enoyl coenzyme A hydratase	ec:4.2.1.74	medium-chain-enoyl-CoA hydratase	oboInOwl:hasRelatedSynonym	ec
medium-chain-enoyl-CoA hydratase	ec:4.2.1.74	medium-chain-enoyl-CoA hydratase	rdfs:label	ec
hydroxymethylbilane hydro-lyase (cyclizing)	ec:4.2.1.75	uroporphyrinogen-III synthase	oboInOwl:hasRelatedSynonym	ec
uroporphyrinogen-III cosynthase	ec:4.2.1.75	uroporphyrinogen-III synthase	oboInOwl:hasRelatedSynonym	ec
uroporphyrinogen-III cosynthetase	ec:4.2.1.75	uroporphyrinogen-III synthase	oboInOwl:hasRelatedSynonym	ec
uroporphyrinogen-III synthase	ec:4.2.1.75	uroporphyrinogen-III synthase	rdfs:label	ec
UDP-glucose 4,6-dehydratase	ec:4.2.1.76	UDP-glucose 4,6-dehydratase	rdfs:label	ec
trans-L-3-hydroxyproline dehydratase	ec:4.2.1.77	trans-L-3-hydroxyproline dehydratase	rdfs:label	ec
2-hydroxybutane-1,2,3-tricarboxylate hydro-lyase	ec:4.2.1.79	2-methylcitrate dehydratase	oboInOwl:hasRelatedSynonym	ec
2-methylcitrate hydro-lyase	ec:4.2.1.79	2-methylcitrate dehydratase	oboInOwl:hasRelatedSynonym	ec
2-methylcitrate dehydratase	ec:4.2.1.79	2-methylcitrate dehydratase	rdfs:label	ec
altronate hydrolase	ec:4.2.1.8	mannonate dehydratase	oboInOwl:hasRelatedSynonym	ec
D-mannonate hydro-lyase	ec:4.2.1.8	mannonate dehydratase	oboInOwl:hasRelatedSynonym	ec
mannonic hydrolase	ec:4.2.1.8	mannonate dehydratase	oboInOwl:hasRelatedSynonym	ec
mannonate dehydratase	ec:4.2.1.8	mannonate dehydratase	rdfs:label	ec
2-keto-4-pentenoate hydratase	ec:4.2.1.80	2-oxopent-4-enoate hydratase	oboInOwl:hasRelatedSynonym	ec
OEH	ec:4.2.1.80	2-oxopent-4-enoate hydratase	oboInOwl:hasRelatedSynonym	ec
2-oxopent-4-enoate hydratase	ec:4.2.1.80	2-oxopent-4-enoate hydratase	rdfs:label	ec
D(-)-tartrate dehydratase	ec:4.2.1.81	D(-)-tartrate dehydratase	rdfs:label	ec
D-xylo-aldonate dehydratase	ec:4.2.1.82	xylonate dehydratase	oboInOwl:hasRelatedSynonym	ec
xylonate dehydratase	ec:4.2.1.82	xylonate dehydratase	rdfs:label	ec
4-carboxy-2-oxohexenedioate hydratase	ec:4.2.1.83	4-oxalmesaconate hydratase	oboInOwl:hasRelatedSynonym	ec
4-oxalmesaconate hydratase	ec:4.2.1.83	4-oxalmesaconate hydratase	rdfs:label	ec
nitrilase	ec:4.2.1.84	nitrile hydratase	oboInOwl:hasRelatedSynonym	ec
nitrile hydro-lyase	ec:4.2.1.84	nitrile hydratase	oboInOwl:hasRelatedSynonym	ec
nitrile hydratase	ec:4.2.1.84	nitrile hydratase	rdfs:label	ec
dimethylmaleate hydratase	ec:4.2.1.85	dimethylmaleate hydratase	rdfs:label	ec
octopamine dehydratase	ec:4.2.1.87	octopamine dehydratase	rdfs:label	ec
synephrine dehydratase	ec:4.2.1.88	synephrine dehydratase	rdfs:label	ec
dihydroxy-acid dehydratase	ec:4.2.1.9	dihydroxy-acid dehydratase	rdfs:label	ec
L-rhamnonate dehydratase	ec:4.2.1.90	L-rhamnonate dehydratase	rdfs:label	ec
carboxycyclohexadienyl dehydratase	ec:4.2.1.91	arogenate dehydratase	oboInOwl:hasRelatedSynonym	ec
arogenate dehydratase	ec:4.2.1.91	arogenate dehydratase	rdfs:label	ec
allene oxide synthase	ec:4.2.1.92	hydroperoxide dehydratase	oboInOwl:hasRelatedSynonym	ec
AOS	ec:4.2.1.92	hydroperoxide dehydratase	oboInOwl:hasRelatedSynonym	ec
hydroperoxide isomerase	ec:4.2.1.92	hydroperoxide dehydratase	oboInOwl:hasRelatedSynonym	ec
hydroperoxide dehydratase	ec:4.2.1.92	hydroperoxide dehydratase	rdfs:label	ec
ATP-dependent H4NAD(P)OH dehydratase	ec:4.2.1.93	ATP-dependent NAD(P)H-hydrate dehydratase	oboInOwl:hasRelatedSynonym	ec
ATP-dependent NAD(P)H-hydrate dehydratase	ec:4.2.1.93	ATP-dependent NAD(P)H-hydrate dehydratase	rdfs:label	ec
scytalone dehydratase	ec:4.2.1.94	scytalone dehydratase	rdfs:label	ec
kievitone hydratase	ec:4.2.1.95	kievitone hydratase	rdfs:label	ec
4alpha-hydroxy-tetrahydropterin dehydratase	ec:4.2.1.96	4a-hydroxytetrahydrobiopterin dehydratase	oboInOwl:hasRelatedSynonym	ec
pterin-4alpha-carbinolamine dehydratase	ec:4.2.1.96	4a-hydroxytetrahydrobiopterin dehydratase	oboInOwl:hasRelatedSynonym	ec
tetrahydrobiopterin dehydratase	ec:4.2.1.96	4a-hydroxytetrahydrobiopterin dehydratase	oboInOwl:hasRelatedSynonym	ec
4a-hydroxytetrahydrobiopterin dehydratase	ec:4.2.1.96	4a-hydroxytetrahydrobiopterin dehydratase	rdfs:label	ec
phaseollidin hydratase	ec:4.2.1.97	phaseollidin hydratase	rdfs:label	ec
16alpha-dehydroxylase	ec:4.2.1.98	16alpha-hydroxyprogesterone dehydratase	oboInOwl:hasRelatedSynonym	ec
16alpha-hydroxyprogesterone dehydroxylase	ec:4.2.1.98	16alpha-hydroxyprogesterone dehydratase	oboInOwl:hasRelatedSynonym	ec
16-dehydroprogesterone hydratase	ec:4.2.1.98	16alpha-hydroxyprogesterone dehydratase	oboInOwl:hasRelatedSynonym	ec
hydroxyprogesterone dehydroxylase	ec:4.2.1.98	16alpha-hydroxyprogesterone dehydratase	oboInOwl:hasRelatedSynonym	ec
16alpha-hydroxyprogesterone dehydratase	ec:4.2.1.98	16alpha-hydroxyprogesterone dehydratase	rdfs:label	ec
(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate hydro-lyase	ec:4.2.1.99	2-methylisocitrate dehydratase	oboInOwl:hasRelatedSynonym	ec
